key,name,description,gender,image,birthdate,deathdate
Q339595,나시모토노미야 모리마사,Japanese prince,M,http://commons.wikimedia.org/wiki/Special:FilePath/Morimasa%20Nashimotonomiya.jpg,18740309,19510101
Q339595,나시모토노미야 모리마사,Japanese prince,M,http://commons.wikimedia.org/wiki/Special:FilePath/Morimasa%20Nashimotonomiya.jpg,18740309,19510102
Q10855990,나시모토노미야 이쓰코,Japanese princess,F,http://commons.wikimedia.org/wiki/Special:FilePath/Nashimoto-no-miya-hi-Itsuko%201915-11-14.jpg,18820202,19760819
Q841146,나운규,Korean actor and director,M,http://commons.wikimedia.org/wiki/Special:FilePath/Na%20Woon-gyu.jpg,19021027,19370809
Q16183879,나혜국,,F,,19010101,19920101
Q12589753,남경민,South Korean film actor,F,,19871027,
Q6961101,남궁원,대한민국의 배우,M,http://commons.wikimedia.org/wiki/Special:FilePath/Namkoong%20Won%20at%2018th%20Puchon%20International%20Fantastic%20Film%20Festival%2C%20July%2017%2C%202014.jpg,19340801,
Q7253672,남성진,South Korean actor,M,,19701231,
Q6780884,남연군,ruler of Korea,M,,17880101,18360505
Q12590006,남일우,South Korean film actor,M,,19380525,
Q12590047,남진우 (시인),,M,,19600904,
Q14345,노무현,대한민국의 제16대 대통령,M,http://commons.wikimedia.org/wiki/Special:FilePath/Roh%20Moo-hyun%202004-10-26.jpg,19460901,20090523
Q16219820,노소영,South Korean art museum director,F,http://commons.wikimedia.org/wiki/Special:FilePath/2015.10.15.%20cc%20global%20summit%20%2822021446879%29.jpg,19610331,
Q12590406,노영심,,F,,19680215,
Q16160910,노유정,South Korean actress,F,,19641130,
Q12590443,노재헌,대한민국의 변호사,M,,19651103,
Q56812355,노정호,대한민국의 교수,M,,19630101,
Q242651,노태우,대한민국의 제13대 대통령,M,http://commons.wikimedia.org/wiki/Special:FilePath/Roh%20Tae-woo%20-%20cropped%2C%201989-Mar-13.jpg,19321204,
Q842800,다니 루미코,Japanese singer,F,,19790814,
Q483509,단경왕후,중종의 정비,F,,14870101,15570101
Q16166065,대도서관,"대한민국의 인터넷 방송인, 컨텐츠 크리에이터",M,http://commons.wikimedia.org/wiki/Special:FilePath/YouTube%20Creator%20panel%20discussion%20in%20Great%20Library%20%28Daedoseogwan%29.jpg,19781031,
Q257425,대한제국 고종,"조선의 제26대 국왕, 대한제국의 초대 황제",M,http://commons.wikimedia.org/wiki/Special:FilePath/Gojong%20of%20the%20Korean%20Empire%2001.jpg,18520908,19190121
Q334111,대한제국 순종,대한제국의 제2대 황제,M,http://commons.wikimedia.org/wiki/Special:FilePath/Sunjong%20of%20the%20Korean%20Empire.jpg,18740325,19260424
Q485604,덕혜옹주,대한제국의 마지막 황녀,F,http://commons.wikimedia.org/wiki/Special:FilePath/Princess%20dukhye%20around%201923.JPG,19120525,19890421
Q624541,덕흥대원군,son of king jungjong and father of king seonjo,M,,15300305,15590509
Q12593129,독고성,South Korean actor,M,,19290429,20040410
Q277225,독고영재,대한민국의 배우이다.,M,,19531213,
Q12593132,독고준,South Korean film actor,M,,19800529,
Q43762448,두순자,,F,,19411227,
Q433295,류미영,North Korean politician,F,,19210214,20161123
Q714658,리설주,wife of North Korean leader Kim Jong-un,F,http://commons.wikimedia.org/wiki/Special:FilePath/Ri%20Sol-ju%20%28April%2027%2C%202018%29.png,19800101,
Q241873,린다 박,American actress born in South Korea,F,http://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Park%20%288734458654%29.jpg,19780709,
Q15934058,마쓰다이라 요시코,spouse of Prince Yi Geon,F,http://commons.wikimedia.org/wiki/Special:FilePath/Matsudaira%20Yoshiko.jpg,19111006,20060628
Q12595003,맹사성,,M,,13600828,14381022
Q21521682,맹희도,고려 후기의 문신,M,,,
Q6796230,메이비,"대한민국의 가수, 작사가",F,,19790910,
Q6860973,명빈 박씨,,F,,,17030101
Q483178,명성왕후,Queen Consort of King Hyeonjong of Joseon,F,,16420613,16840121
Q464503,명성황후,조선 고종의 왕비이자 추존황후,F,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Min-oval%20portrait.jpg,18511019,18951008
Q50973131,명정강,South Korean drummer and actress,F,,19600101,20180323
Q12595546,무산군 (왕족),,M,,,
Q498707,무안대군,son of Taejo of Joseon,M,,13810101,13981014
Q56606145,문동표,전 조선일보 편집국장,M,,,
