key,name,description,gender,image,birthdate,deathdate
Q4713069,다니엘 베스,미국의 배우,M,,19771008,
Q483509,단경왕후,중종의 정비,F,,14870207,15570101
Q16166065,대도서관,"인터넷 방송인, 컨텐츠 크리에이터",M,https://commons.wikimedia.org/wiki/Special:FilePath/YouTube%20Creator%20panel%20discussion%20in%20Great%20Library%20%28Daedoseogwan%29.jpg,19781031,
Q257425,대한제국 고종,"조선 26대 왕, 대한제국 황제",M,https://commons.wikimedia.org/wiki/Special:FilePath/Gojong%20of%20the%20Korean%20Empire%2001.jpg,18520908,19190121
Q334111,대한제국 순종,대한제국의 제2대 황제,M,https://commons.wikimedia.org/wiki/Special:FilePath/Sunjong%20of%20the%20Korean%20Empire.jpg,18740325,19260424
Q498713,덕안대군,조선 태조와 신의왕후의 왕자,M,,,
Q12592850,덕천군,조선 정종의 왕자,M,,,
Q485604,덕혜옹주,대한제국의 마지막 황녀,F,https://commons.wikimedia.org/wiki/Special:FilePath/Princess%20dukhye%20around%201923.JPG,19120525,19890421
Q624541,덕흥대원군,"조선 중종의 자녀, 대원군",M,,15300305,15590509
Q1174767,데이비드 호바스,미국의 일러스트레이터,M,https://commons.wikimedia.org/wiki/Special:FilePath/Uglydolls%2C%20David%20Horvath%2C%202012%2C%20Free%20Comic%20Book%20Day.jpg,19710528,
Q12593129,독고성,South Korean actor,M,,19290429,20040410
Q277225,독고영재,배우이다.,M,,19531213,
Q12593132,독고준,배우,M,,19800529,
Q43762448,두순자,,F,,19411227,
Q433295,류미영,북한의 정치인,F,,19210214,20161123
Q56884356,류지민,법조인,M,,19410101,
Q12594317,류진,기업인,M,,19580305,
Q18328683,류찬우,"기업인, 풍산그룹 창업주",M,,19230101,19990101
Q56839723,류청,"기업인, 풍산그룹 회장",M,,19510101,
Q56884352,류헌열,"법조인, 전 대전지법원장",M,,,
Q714658,리설주,김정은의 배우자,F,https://commons.wikimedia.org/wiki/Special:FilePath/Ri%20Sol-ju%20%28April%2027%2C%202018%29.png,19800101,
Q241873,린다 박,한국계 미국인 배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Linda%20Park%20%288734458654%29.jpg,19780709,
Q15934058,마쓰다이라 요시코,일본의 왕공족,F,https://commons.wikimedia.org/wiki/Special:FilePath/Matsudaira%20Yoshiko.jpg,19111006,20060628
